"","Substance","func","size_class","layer","time","cell_type_general","species","assay","type","media","dose","model_2_values","bmd_id"
"72","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",20,85.6757498449161,4078
"73","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",30,82.6083119685431,4078
"74","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",40,79.845650528031,4078
"75","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",50,77.3877655233797,4078
"76","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",60,75.2346569545892,4078
"77","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",70,73.3863248216595,4078
"78","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",80,71.8427691245907,4078
"79","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",90,70.6039898633827,4078
"80","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","5ROBC8QM",100,69.6699870380355,4078
"81","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",10,90.1363447148444,4082
"82","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",20,87.0948464147307,4082
"83","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",30,84.4131549191275,4082
"84","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",40,82.0912702280347,4082
"85","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",50,80.1291923414525,4082
"86","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",60,78.5269212593807,4082
"87","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",70,77.2844569818194,4082
"88","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",80,76.4017995087686,4082
"89","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",90,75.8789488402283,4082
"90","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","GNNjyhr8","SKQGslHu",100,75.7159049761985,4082
"91","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",10,97.8010153001764,4086
"92","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",20,96.6414449775944,4086
"93","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",30,95.6580519320889,4086
"94","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",40,94.8508361636599,4086
"95","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",50,94.2197976723074,4086
"96","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",60,93.7649364580314,4086
"97","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",70,93.4862525208319,4086
"98","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",80,93.3837458607089,4086
"99","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",90,93.4574164776624,4086
"100","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","5ROBC8QM",100,93.7072643716924,4086
"101","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",10,99.4514460277047,4090
"102","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",20,98.1508106664405,4090
"103","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",30,96.9076051642199,4090
"104","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",40,95.7218295210428,4090
"105","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",50,94.5934837369093,4090
"106","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",60,93.5225678118193,4090
"107","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",70,92.5090817457729,4090
"108","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",80,91.55302553877,4090
"109","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",90,90.6543991908107,4090
"110","eYA4B4iC",NA,"YyZvyFTy",3.5,24,"wINVDlE4","w15ouKhY","TYDoxWwQ","0igg587j","SKQGslHu",100,89.8132027018949,4090
"111","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",10,88.603473430078,5115
"112","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",20,85.5816164166085,5115
"113","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",30,82.0141945730276,5115
"114","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",40,77.9012078993353,5115
"115","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",50,73.2426563955317,5115
"116","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",60,68.0385400616167,5115
"117","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",70,62.2888588975903,5115
"118","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",80,55.9936129034526,5115
"119","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",90,49.1528020792035,5115
"120","QKZn1yzA",NA,"YyZvyFTy",1,24,"TDInCFgc","jXPRHjvl","gCowzLTF","JS8n0pw8","qlDIDyXU",100,41.766426424843,5115
"121","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",10,100,5141
"122","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",20,105.836139169473,5141
"123","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",30,110.213243546577,5141
"124","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",40,113.131313131313,5141
"125","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",50,114.590347923681,5141
"126","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",60,114.590347923681,5141
"127","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",70,113.131313131313,5141
"128","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",80,110.213243546577,5141
"129","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",90,105.836139169473,5141
"130","QKZn1yzA",NA,"YyZvyFTy",1.5,24,"wINVDlE4","w15ouKhY","gCowzLTF","x1wzQG48","SKQGslHu",100,100,5141
"131","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",10,96,5143
"132","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",20,94.8675645342312,5143
"133","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",30,93.712682379349,5143
"134","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",40,92.5353535353535,5143
"135","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",50,91.3355780022446,5143
"136","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",60,90.1133557800224,5143
"137","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",70,88.8686868686869,5143
"138","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",80,87.6015712682379,5143
"139","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",90,86.3120089786756,5143
"140","QKZn1yzA",NA,"QhvvMEVq",1,24,"wINVDlE4","w15ouKhY","gCowzLTF","CYj01mQk","SKQGslHu",100,85,5143
"141","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",10,87.1966996854204,6054
"142","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",20,77.0653361415216,6054
"143","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",30,67.689852825385,6054
"144","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",40,59.0702497370106,6054
"145","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",50,51.2065268763984,6054
"146","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",60,44.0986842435484,6054
"147","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",70,37.7467218384605,6054
"148","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",80,32.1506396611349,6054
"149","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",90,27.3104377115714,6054
"150","eYA4B4iC","A70g0AFL","1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",100,23.2261159897702,6054
"151","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",10,84.9850961593187,6055
"152","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",20,74.6209316144239,6055
"153","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",30,65.0033516446751,6055
"154","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",40,56.1323562500722,6055
"155","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",50,48.0079454306152,6055
"156","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",60,40.6301191863042,6055
"157","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",70,33.9988775171391,6055
"158","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",80,28.11422042312,6055
"159","eYA4B4iC",NA,"1XWHdme1",1,24,"wINVDlE4","w15ouKhY","gAPefpxF","yZzgywzF","5ROBC8QM",90,22.9761479042467,6055
