,Type,Compounds,SMILES,SCF,Ref,Cultivate_mode,pH,PFAS_concentration (μg/kg),Exposure_time,Protein_content (%),Lipid_content (%),Species_alfalfa,Species_celery,Species_head_lettuce,Species_leaf_lettuce,Species_lettuce,Species_maize,Species_mung bean,Species_pea,Species_radish,Species_radish_e,Species_romaine_lettuce,Species_ryegrass,Species_soybean,Species_tomato,Species_wheat,SpAbs_A,SpMAD_A,nO,AATS6Z,AATS7i,AATS6se,Predictions
95,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.327902142,[14],0,6.5,1000,45,5.11,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.306851741
96,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.301029996,[14],0,6.5,1000,45,5.43,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.220815888
144,16,PFTeA,C(=O)(C(C(C(C(C(C(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.298432015,[5],0,8.2,1.89,210,4,3.45,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,44.45542014,1.03384698,2,62.93333333,236.7021368,12.8794392,-0.225440463
52,13,PFOA,C(=O)(C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O,-0.283996656,[4],0,6.1,78.52,129,7,2.28,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,25.529641,1.02118564,2,61.33333333,237.7166294,12.952512,-0.252911495
94,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.27572413,[14],0,6.5,1000,45,3.51,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.262465026
102,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.27572413,[14],0,6.5,1000,45,6.46,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.135777362
116,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.244125144,[14],0,6.5,200,45,7.76,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.314497399
91,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.229147988,[14],0,6.5,1000,45,5.29,3.23,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.255641194
113,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.22184875,[14],0,6.5,1000,45,6.92,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.116868608
109,14,PFOS,C(C(C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,-0.214670165,[14],0,6.5,1000,45,3.95,3.23,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,29.28901143,1.009965911,3,67,234.1145328,12.98542163,-0.207592524
