Smiles,Species,Sex,Tissue,Exposure Concentration (ug/L),Exposure (days),Depuration (days),Mixture,log(BCF) (L/Kg)
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,1.61,24.0,24,True,2.09
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,6.46,24.0,24,True,1.9
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,1.61,24.0,24,True,2.78
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,6.46,24.0,24,True,2.53
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,1.61,24.0,24,True,2.83
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,muscle,6.46,24.0,24,True,1.66
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,1.61,24.0,24,True,1.97
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,ovary,6.46,24.0,24,True,1.83
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,1.61,24.0,24,True,2.01
C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(C(C(C(F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,whole body,6.46,24.0,24,True,1.83
C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,0.66,24.0,24,True,1.83
C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,plasma,4.179,24.0,24,True,1.64
C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,0.66,24.0,24,True,3.15
C(C(C(C(C(C(F)(F)P(=O)(O)O)(F)F)(F)F)(F)F)(F)F)(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F,Danio rerio,female,liver,4.179,24.0,24,True,2.89
